"","Movie.ID","Movie.Name","year","title","genre_Adventure","genre_Children's","genre_Fantasy","genre_Comedy","genre_Romance","genre_Drama","genre_Action","genre_Crime","genre_Thriller","genre_Horror","genre_Animation","genre_Sci-Fi","genre_Documentary","genre_War","genre_Musical","genre_Mystery","genre_Film-Noir","genre_Western"
"1","1042","Jumanji (1995)",1995,"Jumanji",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2135","Grumpier Old Men (1995)",1995,"Grumpier Old Men",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","3181","Waiting to Exhale (1995)",1995,"Waiting to Exhale",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","3292","Father of the Bride Part II (1995)",1995,"Father of the Bride Part II",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","3401","Heat (1995)",1995,"Heat",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"6","3506","Sabrina (1995)",1995,"Sabrina",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","3615","Tom and Huck (1995)",1995,"Tom and Huck",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","3724","Sudden Death (1995)",1995,"Sudden Death",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9","1","GoldenEye (1995)",1995,"GoldenEye",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"10","109","American President, The (1995)",1995,"American President, The",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"11","215","Dracula: Dead and Loving It (1995)",1995,"Dracula: Dead and Loving It",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12","323","Balto (1995)",1995,"Balto",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13","431","Nixon (1995)",1995,"Nixon",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"14","530","Cutthroat Island (1995)",1995,"Cutthroat Island",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"15","631","Casino (1995)",1995,"Casino",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"16","735","Sense and Sensibility (1995)",1995,"Sense and Sensibility",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"17","831","Four Rooms (1995)",1995,"Four Rooms",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18","932","Ace Ventura: When Nature Calls (1995)",1995,"Ace Ventura: When Nature Calls",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","1043","Money Train (1995)",1995,"Money Train",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20","1153","Get Shorty (1995)",1995,"Get Shorty",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"21","1262","Copycat (1995)",1995,"Copycat",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"22","1372","Assassins (1995)",1995,"Assassins",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"23","1482","Powder (1995)",1995,"Powder",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"24","1590","Leaving Las Vegas (1995)",1995,"Leaving Las Vegas",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"25","1697","Othello (1995)",1995,"Othello",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26","1806","Now and Then (1995)",1995,"Now and Then",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"27","1914","Persuasion (1995)",1995,"Persuasion",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2024","City of Lost Children, The (1995)",1995,"City of Lost Children, The",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29","2136","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",1995,"Shanghai Triad (Yao a yao yao dao waipo qiao)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30","2246","Dangerous Minds (1995)",1995,"Dangerous Minds",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"31","2357","Twelve Monkeys (1995)",1995,"Twelve Monkeys",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"32","2463","Wings of Courage (1995)",1995,"Wings of Courage",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2573","Babe (1995)",1995,"Babe",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"34","2683","Carrington (1995)",1995,"Carrington",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"35","2792","Dead Man Walking (1995)",1995,"Dead Man Walking",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"36","2901","Across the Sea of Time (1995)",1995,"Across the Sea of Time",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37","3010","It Takes Two (1995)",1995,"It Takes Two",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","3117","Clueless (1995)",1995,"Clueless",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","3182","Cry, the Beloved Country (1995)",1995,"Cry, the Beloved Country",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"40","3193","Richard III (1995)",1995,"Richard III",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"41","3204","Dead Presidents (1995)",1995,"Dead Presidents",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"42","3215","Restoration (1995)",1995,"Restoration",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43","3226","Mortal Kombat (1995)",1995,"Mortal Kombat",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"44","3237","To Die For (1995)",1995,"To Die For",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"45","3248","How to Make an American Quilt (1995)",1995,"How to Make an American Quilt",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"46","3259","Seven (Se7en) (1995)",1995,"Seven (Se7en)",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"47","3270","Pocahontas (1995)",1995,"Pocahontas",0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"48","3281","When Night Is Falling (1995)",1995,"When Night Is Falling",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"49","3293","Usual Suspects, The (1995)",1995,"Usual Suspects, The",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"50","3304","Guardian Angel (1994)",1994,"Guardian Angel",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
